prefcode,prefname,cityname,regionname
01,北海道,札幌市中央区,石狩振興局
01,北海道,札幌市北区,石狩振興局
01,北海道,札幌市東区,石狩振興局
01,北海道,札幌市白石区,石狩振興局
01,北海道,札幌市豊平区,石狩振興局
01,北海道,札幌市南区,石狩振興局
01,北海道,札幌市西区,石狩振興局
01,北海道,札幌市厚別区,石狩振興局
01,北海道,札幌市手稲区,石狩振興局
01,北海道,札幌市清田区,石狩振興局
01,北海道,函館市,渡島総合振興局
01,北海道,小樽市,後志総合振興局
01,北海道,旭川市,上川総合振興局
01,北海道,室蘭市,胆振総合振興局
01,北海道,釧路市,釧路総合振興局
01,北海道,帯広市,十勝総合振興局
01,北海道,北見市,オホーツク総合振興局
01,北海道,夕張市,空知総合振興局
01,北海道,岩見沢市,空知総合振興局
01,北海道,網走市,オホーツク総合振興局
01,北海道,留萌市,留萌振興局
01,北海道,苫小牧市,胆振総合振興局
01,北海道,稚内市,宗谷総合振興局
01,北海道,美唄市,空知総合振興局
01,北海道,芦別市,空知総合振興局
01,北海道,江別市,石狩振興局
01,北海道,赤平市,空知総合振興局
01,北海道,紋別市,オホーツク総合振興局
01,北海道,士別市,上川総合振興局
01,北海道,名寄市,上川総合振興局
01,北海道,三笠市,空知総合振興局
01,北海道,根室市,根室振興局
01,北海道,千歳市,石狩振興局
01,北海道,滝川市,空知総合振興局
01,北海道,砂川市,空知総合振興局
01,北海道,歌志内市,空知総合振興局
01,北海道,深川市,空知総合振興局
01,北海道,富良野市,上川総合振興局
01,北海道,登別市,胆振総合振興局
01,北海道,恵庭市,石狩振興局
01,北海道,伊達市,胆振総合振興局
01,北海道,北広島市,石狩振興局
01,北海道,石狩市,石狩振興局
01,北海道,北斗市,渡島総合振興局
01,北海道,石狩郡当別町,石狩振興局
01,北海道,石狩郡新篠津村,石狩振興局
01,北海道,松前郡松前町,渡島総合振興局
01,北海道,松前郡福島町,渡島総合振興局
01,北海道,上磯郡知内町,渡島総合振興局
01,北海道,上磯郡木古内町,渡島総合振興局
01,北海道,亀田郡七飯町,渡島総合振興局
01,北海道,茅部郡鹿部町,渡島総合振興局
01,北海道,茅部郡森町,渡島総合振興局
01,北海道,二海郡八雲町,渡島総合振興局
01,北海道,山越郡長万部町,渡島総合振興局
01,北海道,檜山郡江差町,檜山振興局
01,北海道,檜山郡上ノ国町,檜山振興局
01,北海道,檜山郡厚沢部町,檜山振興局
01,北海道,爾志郡乙部町,檜山振興局
01,北海道,奥尻郡奥尻町,檜山振興局
01,北海道,瀬棚郡今金町,檜山振興局
01,北海道,久遠郡せたな町,檜山振興局
01,北海道,島牧郡島牧村,後志総合振興局
01,北海道,寿都郡寿都町,後志総合振興局
01,北海道,寿都郡黒松内町,後志総合振興局
01,北海道,磯谷郡蘭越町,後志総合振興局
01,北海道,虻田郡ニセコ町,後志総合振興局
01,北海道,虻田郡真狩村,後志総合振興局
01,北海道,虻田郡留寿都村,後志総合振興局
01,北海道,虻田郡喜茂別町,後志総合振興局
01,北海道,虻田郡京極町,後志総合振興局
01,北海道,虻田郡倶知安町,後志総合振興局
01,北海道,岩内郡共和町,後志総合振興局
01,北海道,岩内郡岩内町,後志総合振興局
01,北海道,古宇郡泊村,後志総合振興局
01,北海道,古宇郡神恵内村,後志総合振興局
01,北海道,積丹郡積丹町,後志総合振興局
01,北海道,古平郡古平町,後志総合振興局
01,北海道,余市郡仁木町,後志総合振興局
01,北海道,余市郡余市町,後志総合振興局
01,北海道,余市郡赤井川村,後志総合振興局
01,北海道,空知郡南幌町,空知総合振興局
01,北海道,空知郡奈井江町,空知総合振興局
01,北海道,空知郡上砂川町,空知総合振興局
01,北海道,夕張郡由仁町,空知総合振興局
01,北海道,夕張郡長沼町,空知総合振興局
01,北海道,夕張郡栗山町,空知総合振興局
01,北海道,樺戸郡月形町,空知総合振興局
01,北海道,樺戸郡浦臼町,空知総合振興局
01,北海道,樺戸郡新十津川町,空知総合振興局
01,北海道,雨竜郡妹背牛町,空知総合振興局
01,北海道,雨竜郡秩父別町,空知総合振興局
01,北海道,雨竜郡雨竜町,空知総合振興局
01,北海道,雨竜郡北竜町,空知総合振興局
01,北海道,雨竜郡沼田町,空知総合振興局
01,北海道,上川郡鷹栖町,上川総合振興局
01,北海道,上川郡東神楽町,上川総合振興局
01,北海道,上川郡当麻町,上川総合振興局
01,北海道,上川郡比布町,上川総合振興局
01,北海道,上川郡愛別町,上川総合振興局
01,北海道,上川郡上川町,上川総合振興局
01,北海道,上川郡東川町,上川総合振興局
01,北海道,上川郡美瑛町,上川総合振興局
01,北海道,空知郡上富良野町,上川総合振興局
01,北海道,空知郡中富良野町,上川総合振興局
01,北海道,空知郡南富良野町,上川総合振興局
01,北海道,勇払郡占冠村,上川総合振興局
01,北海道,上川郡和寒町,上川総合振興局
01,北海道,上川郡剣淵町,上川総合振興局
01,北海道,上川郡下川町,上川総合振興局
01,北海道,中川郡美深町,上川総合振興局
01,北海道,中川郡音威子府村,上川総合振興局
01,北海道,中川郡中川町,上川総合振興局
01,北海道,雨竜郡幌加内町,上川総合振興局
01,北海道,増毛郡増毛町,留萌振興局
01,北海道,留萌郡小平町,留萌振興局
01,北海道,苫前郡苫前町,留萌振興局
01,北海道,苫前郡羽幌町,留萌振興局
01,北海道,苫前郡初山別村,留萌振興局
01,北海道,天塩郡遠別町,留萌振興局
01,北海道,天塩郡天塩町,留萌振興局
01,北海道,宗谷郡猿払村,宗谷総合振興局
01,北海道,枝幸郡浜頓別町,宗谷総合振興局
01,北海道,枝幸郡中頓別町,宗谷総合振興局
01,北海道,枝幸郡枝幸町,宗谷総合振興局
01,北海道,天塩郡豊富町,宗谷総合振興局
01,北海道,礼文郡礼文町,宗谷総合振興局
01,北海道,利尻郡利尻町,宗谷総合振興局
01,北海道,利尻郡利尻富士町,宗谷総合振興局
01,北海道,天塩郡幌延町,宗谷総合振興局
01,北海道,網走郡美幌町,オホーツク総合振興局
01,北海道,網走郡津別町,オホーツク総合振興局
01,北海道,斜里郡斜里町,オホーツク総合振興局
01,北海道,斜里郡清里町,オホーツク総合振興局
01,北海道,斜里郡小清水町,オホーツク総合振興局
01,北海道,常呂郡訓子府町,オホーツク総合振興局
01,北海道,常呂郡置戸町,オホーツク総合振興局
01,北海道,常呂郡佐呂間町,オホーツク総合振興局
01,北海道,紋別郡遠軽町,オホーツク総合振興局
01,北海道,紋別郡湧別町,オホーツク総合振興局
01,北海道,紋別郡滝上町,オホーツク総合振興局
01,北海道,紋別郡興部町,オホーツク総合振興局
01,北海道,紋別郡西興部村,オホーツク総合振興局
01,北海道,紋別郡雄武町,オホーツク総合振興局
01,北海道,網走郡大空町,オホーツク総合振興局
01,北海道,虻田郡豊浦町,胆振総合振興局
01,北海道,有珠郡壮瞥町,胆振総合振興局
01,北海道,白老郡白老町,胆振総合振興局
01,北海道,勇払郡厚真町,胆振総合振興局
01,北海道,虻田郡洞爺湖町,胆振総合振興局
01,北海道,勇払郡安平町,胆振総合振興局
01,北海道,勇払郡むかわ町,胆振総合振興局
01,北海道,沙流郡日高町,日高振興局
01,北海道,沙流郡平取町,日高振興局
01,北海道,新冠郡新冠町,日高振興局
01,北海道,浦河郡浦河町,日高振興局
01,北海道,様似郡様似町,日高振興局
01,北海道,幌泉郡えりも町,日高振興局
01,北海道,日高郡新ひだか町,日高振興局
01,北海道,河東郡音更町,十勝総合振興局
01,北海道,河東郡士幌町,十勝総合振興局
01,北海道,河東郡上士幌町,十勝総合振興局
01,北海道,河東郡鹿追町,十勝総合振興局
01,北海道,上川郡新得町,十勝総合振興局
01,北海道,上川郡清水町,十勝総合振興局
01,北海道,河西郡芽室町,十勝総合振興局
01,北海道,河西郡中札内村,十勝総合振興局
01,北海道,河西郡更別村,十勝総合振興局
01,北海道,広尾郡大樹町,十勝総合振興局
01,北海道,広尾郡広尾町,十勝総合振興局
01,北海道,中川郡幕別町,十勝総合振興局
01,北海道,中川郡池田町,十勝総合振興局
01,北海道,中川郡豊頃町,十勝総合振興局
01,北海道,中川郡本別町,十勝総合振興局
01,北海道,足寄郡足寄町,十勝総合振興局
01,北海道,足寄郡陸別町,十勝総合振興局
01,北海道,十勝郡浦幌町,十勝総合振興局
01,北海道,釧路郡釧路町,釧路総合振興局
01,北海道,厚岸郡厚岸町,釧路総合振興局
01,北海道,厚岸郡浜中町,釧路総合振興局
01,北海道,川上郡標茶町,釧路総合振興局
01,北海道,川上郡弟子屈町,釧路総合振興局
01,北海道,阿寒郡鶴居村,釧路総合振興局
01,北海道,白糠郡白糠町,釧路総合振興局
01,北海道,野付郡別海町,根室振興局
01,北海道,標津郡中標津町,根室振興局
01,北海道,標津郡標津町,根室振興局
01,北海道,目梨郡羅臼町,根室振興局
